Position,Counts
65,9
66,9
67,9
68,9
69,9
70,10
71,10
72,10
73,10
74,10
75,11
76,14
77,336
78,409
79,2649
80,2930
81,2933
82,2934
83,2935
84,2942
85,2972
86,4161
87,4188
88,4476
89,4477
90,4477
91,4477
92,4477
93,4477
94,4477
95,4477
96,4477
97,4477
98,4478
99,4478
100,4478
101,4478
102,4478
103,4478
104,4478
105,4481
106,4481
107,4481
108,4481
109,4481
110,4481
111,4481
112,4481
113,4481
114,4481
115,4482
116,4482
117,4482
118,4484
119,4484
120,4484
121,4484
122,4484
123,4484
124,4484
125,4484
126,4484
127,4484
128,4484
129,4484
130,4484
131,4484
132,4484
133,4484
134,4484
135,4484
136,4484
137,4484
138,4484
139,4484
140,4484
141,4484
142,4484
143,4484
144,4484
145,4484
146,4484
147,4484
148,4484
149,4484
150,4484
151,4484
152,4484
153,4484
154,4484
155,4484
156,4484
157,4484
158,4484
159,4484
160,4484
161,4484
162,4484
163,4484
164,4484
165,4484
166,4475
167,4475
168,4475
169,4475
170,4475
171,4474
172,4474
173,4474
174,4474
175,4474
176,4473
177,4470
178,4148
179,4075
180,1835
181,1554
182,1551
183,1550
184,1549
185,1542
186,1512
187,323
188,296
189,8
190,7
191,7
192,7
193,7
194,7
195,7
196,7
197,7
198,7
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,2
217,2
218,2
223,1
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,4
232,4
233,4
234,4
235,4
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,7
245,7
246,7
247,8
248,8
249,8
250,8
251,8
252,9
253,9
254,9
255,9
256,10
257,10
258,10
259,13
260,14
261,28
262,28
263,28
264,28
265,28
266,28
267,28
268,28
269,30
270,50
271,230
272,239
273,497
274,511
275,517
276,527
277,589
278,589
279,590
280,591
281,592
282,618
283,812
284,874
285,882
286,925
287,970
288,1248
289,1255
290,1282
291,1285
292,1285
293,1287
294,1299
295,1833
296,1846
297,2467
298,2500
299,2519
300,2519
301,2520
302,2522
303,2525
304,2527
305,2541
306,2542
307,2542
308,2542
309,2542
310,2544
311,2548
312,2597
313,2603
314,2714
315,2725
316,2773
317,2813
318,3072
319,3139
320,3169
321,3180
322,3219
323,3227
324,3255
325,3276
326,3314
327,3336
328,3342
329,3353
330,3419
331,3436
332,3442
333,3447
334,3452
335,3455
336,3456
337,3469
338,3489
339,3492
340,3516
341,3527
342,3528
343,3529
344,3529
345,3529
346,3529
347,3529
348,3535
349,3536
350,3542
351,3542
352,3543
353,3544
354,3544
355,3544
356,3544
357,3548
358,3549
359,3549
360,3546
361,3545
362,3531
363,3531
364,3565
365,3569
366,3623
367,3629
368,3631
369,3631
370,3629
371,3609
372,3429
373,3421
374,3165
375,3151
376,3146
377,3137
378,3075
379,3075
380,3074
381,3073
382,3072
383,3047
384,2855
385,2793
386,2785
387,2742
388,2702
389,2424
390,2417
391,2390
392,2391
393,2392
394,2393
395,2602
396,2072
397,2329
398,1715
399,1683
400,1664
401,1665
402,1664
403,1663
404,1661
405,1735
406,1727
407,1731
408,1731
409,1744
410,1746
411,1748
