Position,Counts
8569,1
8570,1
8571,1
8572,1
8573,1
8574,1
8575,1
8576,1
8577,1
8578,1
8579,1
8580,1
8581,1
8582,1
8583,1
8584,1
8585,1
8586,1
8587,1
8588,1
8589,1
8590,1
8591,1
8592,1
8593,1
8594,1
8595,1
8596,1
8597,1
8598,1
8599,1
8600,1
8601,1
8602,1
8603,1
8604,1
8605,1
8606,1
8607,1
8608,1
8609,1
8610,1
8611,1
8612,1
8613,1
8614,1
8615,1
8616,1
8617,1
8618,1
8619,1
8620,1
8621,1
8622,1
8623,1
8624,1
8625,1
8626,1
8627,1
8628,1
8629,1
8630,1
8631,1
8632,1
8633,1
8634,1
8635,1
8636,1
8637,1
8638,1
8639,1
8640,1
8641,1
8642,1
8643,1
8644,1
8645,1
8646,1
8647,1
8648,1
8649,1
8650,1
8651,1
8652,1
8653,1
8654,1
8655,1
8656,1
8657,1
8658,1
8659,1
8660,1
8661,1
8662,1
8663,1
8664,1
8665,1
8666,1
8667,1
8668,1
8669,1
10070,1
10071,1
10072,1
10073,1
10074,1
10075,1
10076,1
10077,1
10078,1
10079,1
10080,1
10081,1
10082,1
10083,1
10084,1
10085,1
10086,1
10087,1
10088,1
10089,1
10090,1
10091,1
10092,1
10093,1
10094,1
10095,1
10096,1
10097,1
10098,1
10099,1
10100,1
10101,1
10102,1
10103,1
10104,1
10105,1
10106,1
10107,1
10108,1
10109,1
10110,1
10111,1
10112,1
10113,1
10114,1
10115,1
10116,1
10117,1
10118,1
10119,1
10120,1
10121,1
10122,1
10123,1
10124,2
10125,2
10126,2
10127,2
10128,2
10129,2
10130,2
10131,2
10132,2
10133,2
10134,2
10135,2
10136,2
10137,2
10138,2
10139,2
10140,2
10141,2
10142,2
10143,2
10144,2
10145,2
10146,2
10147,2
10148,2
10149,4
10150,6
10151,6
10152,6
10153,6
10154,6
10155,6
10156,6
10157,6
10158,6
10159,6
10160,6
10161,6
10162,6
10163,6
10164,6
10165,6
10166,6
10167,6
10168,6
10169,6
10170,6
10171,5
10172,5
10173,5
10174,5
10175,5
10176,5
10177,6
10178,6
10179,6
10180,6
10181,6
10182,6
10183,6
10184,6
10185,6
10186,6
10187,6
10188,6
10189,6
10190,6
10191,6
10192,6
10193,6
10194,6
10195,6
10196,6
10197,6
10198,6
10199,6
10200,6
10201,6
10202,6
10203,6
10204,6
10205,6
10206,6
10207,6
10208,6
10209,6
10210,6
10211,6
10212,6
10213,6
10214,6
10215,6
10216,6
10217,6
10218,6
10219,6
10220,6
10221,6
10222,6
10223,6
10224,6
10225,5
10226,5
10227,5
10228,5
10229,5
10230,5
10231,5
10232,5
10233,5
10234,5
10235,5
10236,5
10237,5
10238,5
10239,5
10240,5
10241,5
10242,5
10243,5
10244,5
10245,5
10246,5
10247,5
10248,5
10249,5
10250,3
10251,1
10252,1
10253,1
10254,1
10255,1
10256,1
10257,1
10258,1
10259,1
10260,1
10261,1
10262,1
10263,1
10264,1
10265,1
10266,1
10267,1
10268,1
10269,1
10270,1
10271,1
10272,1
10273,1
10274,1
10275,1
10276,1
10277,1
10328,1
10329,1
10330,1
10331,1
10332,1
10333,1
10334,1
10335,1
10336,2
10337,2
10338,2
10339,2
10340,2
10341,2
10342,2
10343,2
10344,2
10345,2
10346,4
10347,4
10348,4
10349,4
10350,4
10351,4
10352,4
10353,4
10354,4
10355,4
10356,4
10357,4
10358,4
10359,4
10360,4
10361,4
10362,4
10363,4
10364,4
10365,4
10366,4
10367,4
10368,4
10369,4
10370,4
10371,4
10372,4
10373,4
10374,4
10375,4
10376,5
10377,5
10378,5
10379,5
10380,5
10381,5
10382,5
10383,5
10384,5
10385,5
10386,5
10387,5
10388,5
10389,5
10390,5
10391,5
10392,5
10393,5
10394,5
10395,5
10396,5
10397,5
10398,5
10399,5
10400,5
10401,5
10402,5
10403,5
10404,5
10405,5
10406,5
10407,5
10408,5
10409,5
10410,5
10411,5
10412,5
10413,5
10414,5
10415,5
10416,5
10417,5
10418,5
10419,5
10420,5
10421,5
10422,5
10423,5
10424,5
10425,5
10426,5
10427,5
10428,5
10429,4
10430,4
10431,4
10432,4
10433,4
10434,4
10435,4
10436,4
10437,3
10438,3
10439,3
10440,3
10441,3
10442,3
10443,3
10444,3
10445,3
10446,3
10447,1
10448,1
10449,1
10450,1
10451,1
10452,1
10453,1
10454,1
10455,1
10456,1
10457,1
10458,1
10459,1
10460,1
10461,1
10462,1
10463,1
10464,1
10465,1
10466,1
10467,1
10468,1
10469,1
10470,1
10471,1
10472,1
10473,1
10474,1
10475,1
10476,1
10752,1
10753,1
10754,1
10755,1
10756,1
10757,1
10758,1
10759,1
10760,1
10761,1
10762,1
10763,1
10764,1
10765,1
10766,1
10767,1
10768,1
10769,1
10770,1
10771,1
10772,1
10773,1
10774,1
10775,1
10776,1
10777,1
10778,1
10779,1
10780,1
10781,1
10782,1
10783,1
10784,1
10785,1
10786,1
10787,1
10788,1
10789,1
10790,1
10791,1
10792,1
10793,1
10794,1
10795,1
10796,1
10797,1
10798,1
10799,1
10800,1
10801,1
10802,1
10803,1
10804,1
10805,1
10806,1
10807,1
10808,1
10809,1
10810,1
10811,1
10812,1
10813,1
10814,1
10815,1
10816,1
10817,1
10818,1
10819,1
10820,1
10821,1
10822,1
10823,1
10824,1
10825,1
10826,1
10827,1
10828,1
10829,1
10830,1
10831,1
10832,1
10833,1
10834,1
10835,1
10836,1
10837,1
10838,1
10839,1
10840,1
10841,1
10842,1
10843,1
10844,1
10845,1
10846,1
10847,1
10848,1
10849,1
10850,1
10851,1
10852,1
11098,1
11099,1
11100,1
11101,1
11102,1
11103,1
11104,1
11105,1
11106,1
11107,1
11108,1
11109,1
11110,1
11111,1
11112,1
11113,1
11114,1
11115,1
11116,1
11117,1
11118,1
11119,1
11120,1
11121,1
11122,1
11123,1
11124,1
11125,1
11126,1
11127,1
11128,1
11129,1
11130,1
11131,1
11132,1
11133,1
11134,1
11135,1
11136,1
11137,1
11138,1
11139,1
11140,1
11141,1
11142,1
11143,1
11144,1
11145,1
11146,1
11147,1
11148,1
11149,1
11150,1
11151,1
11152,1
11153,1
11154,1
11155,1
11156,1
11157,1
11158,1
11159,1
11160,1
11161,1
11162,1
11163,1
11164,1
11165,1
11166,1
11167,1
11168,1
11169,1
11170,1
11171,1
11172,1
11173,1
11174,1
11175,1
11176,1
11177,1
11178,1
11179,1
11180,1
11181,1
11182,1
11183,1
11184,1
11185,1
11186,1
11187,1
11188,1
11189,1
11190,1
11191,1
11192,1
11193,1
11194,1
11195,1
11196,1
11197,1
11198,1
11345,1
11346,1
11347,1
11348,1
11349,1
11350,1
11351,1
11352,1
11353,1
11354,1
11355,1
11356,1
11357,1
11358,1
11359,1
11360,1
11361,1
11362,1
11363,1
11364,1
11365,1
11366,1
11367,1
11368,1
11369,1
11370,1
11371,1
11372,1
11373,1
11374,1
11375,1
11376,1
11377,1
11378,1
11379,1
11380,1
11381,1
11382,1
11383,1
11384,1
11385,1
11386,1
11387,1
11388,1
11389,1
11390,1
11391,1
11392,1
11393,1
11394,1
11395,1
11396,1
11397,1
11398,1
11399,1
11400,1
11401,1
11402,1
11403,1
11404,1
11405,1
11406,1
11407,1
11408,1
11409,1
11410,1
11411,1
11412,1
11413,1
11414,1
11415,1
11416,1
11417,1
11418,1
11419,1
11420,1
11421,1
11422,1
11423,1
11424,1
11425,1
11426,1
11427,1
11428,1
11429,1
11430,1
11431,1
11432,1
11433,1
11434,1
11435,1
11436,1
11437,1
11438,1
11439,1
11440,1
11441,1
11442,1
11443,1
11444,1
11445,1
12890,1
12891,1
12892,1
12893,1
12894,1
12895,1
12896,1
12897,1
12898,1
12899,1
12900,1
12901,1
12902,1
12903,1
12904,1
12905,1
12906,1
12907,1
12908,1
12909,1
12910,1
12911,1
12912,1
12913,1
12914,1
12915,1
12916,1
12917,1
12918,1
12919,1
12920,1
12921,1
12922,1
12923,1
12924,1
12925,1
12926,1
12927,1
12928,1
12929,1
12930,1
12931,1
12932,1
12933,1
12934,1
12935,1
12936,1
12937,1
12938,1
12939,1
12940,1
12941,1
12942,1
12943,1
12944,1
12945,1
12946,1
12947,1
12948,1
12949,1
12950,1
12951,1
12952,1
12953,1
12954,1
12955,1
12956,1
12957,1
12958,1
12959,1
12960,1
12961,1
12962,1
12963,1
12964,1
12965,1
12966,1
12967,1
12968,1
12969,1
12970,1
12971,1
12972,1
12973,1
12974,1
12975,1
12976,1
12977,1
12978,1
12979,1
12980,1
12981,1
12982,1
12983,1
12984,1
12985,1
12986,1
12987,1
12988,1
12989,1
12990,1
15312,2
15313,2
15314,2
15315,2
15316,2
15317,2
15318,2
15319,2
15320,2
15321,2
15322,2
15323,2
15324,2
15325,2
15326,2
15327,6
15328,6
15329,6
15330,6
15331,6
15332,6
15333,6
15334,6
15335,6
15336,6
15337,6
15338,6
15339,6
15340,6
15341,6
15342,6
15343,6
15344,6
15345,6
15346,7
15347,7
15348,7
15349,7
15350,7
15351,7
15352,7
15353,7
15354,7
15355,7
15356,7
15357,7
15358,7
15359,7
15360,7
15361,7
15362,7
15363,7
15364,7
15365,7
15366,7
15367,7
15368,7
15369,7
15370,7
15371,7
15372,7
15373,7
15374,7
15375,7
15376,7
15377,7
15378,7
15379,7
15380,7
15381,7
15382,7
15383,7
15384,7
15385,7
15386,7
15387,7
15388,7
15389,7
15390,7
15391,7
15392,7
15393,7
15394,7
15395,7
15396,7
15397,7
15398,7
15399,7
15400,7
15401,7
15402,7
15403,7
15404,7
15405,7
15406,7
15407,7
15408,7
15409,7
15410,7
15411,7
15412,7
15413,5
15414,5
15415,5
15416,5
15417,5
15418,5
15419,5
15420,5
15421,5
15422,5
15423,5
15424,5
15425,5
15426,5
15427,5
15428,1
15429,1
15430,1
15431,1
15432,1
15433,1
15434,1
15435,1
15436,1
15437,1
15438,1
15439,1
15440,1
15441,1
15442,1
15443,1
15444,1
15445,1
15446,1
15605,1
15606,1
15607,3
15608,3
15609,3
15610,3
15611,3
15612,3
15613,3
15614,3
15615,3
15616,3
15617,3
15618,3
15619,3
15620,3
15621,3
15622,3
15623,3
15624,3
15625,3
15626,3
15627,3
15628,3
15629,3
15630,3
15631,3
15632,3
15633,3
15634,3
15635,3
15636,3
15637,3
15638,3
15639,3
15640,3
15641,3
15642,3
15643,3
15644,3
15645,3
15646,3
15647,3
15648,3
15649,3
15650,3
15651,3
15652,3
15653,3
15654,3
15655,3
15656,3
15657,3
15658,3
15659,3
15660,3
15661,3
15662,3
15663,3
15664,3
15665,3
15666,3
15667,3
15668,3
15669,3
15670,3
15671,3
15672,3
15673,3
15674,3
15675,3
15676,3
15677,3
15678,3
15679,3
15680,3
15681,3
15682,3
15683,3
15684,3
15685,3
15686,3
15687,3
15688,3
15689,3
15690,3
15691,3
15692,3
15693,3
15694,3
15695,3
15696,3
15697,3
15698,3
15699,3
15700,3
15701,3
15702,3
15703,3
15704,3
15705,3
15706,2
15707,2
15874,1
15875,1
15876,1
15877,1
